batch,train_loss,vali_loss,test_loss
100,0.7082727208733559,0.3309784213701884,0.3809687400787649
200,0.3467122969031334,0.2762793615460396,0.32532469560982474
300,0.32080189615488053,0.26531265924374264,0.31298704057092397
400,0.31100305646657944,0.2612468962868055,0.30813350832798114
500,0.3092047184705734,0.2590202401081721,0.3037346523832267
600,0.29827366352081297,0.25827569713195164,0.30126843737884307
700,0.30016535729169846,0.25821394224961597,0.2993435959371043
800,0.29527674555778505,0.25904654785990716,0.29427535821434475
900,0.2864424899220467,0.2614901584883531,0.2962113784652361
1000,0.28479522734880447,0.255645194152991,0.29246406099745925
1100,0.2772802159190178,0.26588748743136725,0.29536958951765385
1200,0.27565369501709935,0.2673388751844565,0.2930465670118869
1300,0.2734437230229378,0.26450270041823387,0.29083870540202506
1400,0.27008172079920767,0.2619018691281478,0.28775991793249694
1500,0.2681764505803585,0.26270448764165244,0.2863155765012956
1600,0.26599662363529203,0.2627506283422311,0.28718906095330143
1700,0.2625012296438217,0.2643728405237198,0.28636648474444804
1800,0.2637516348063946,0.26103908866643905,0.28545689540849606
1900,0.26052062019705774,0.26118730157613756,0.2865782670781646
2000,0.25993736907839776,0.26109682669242223,0.2855316728983127
2100,0.26102697432041166,0.2602054086824258,0.2838671714277335
2200,0.2573488187789917,0.263426723331213,0.2843188237346394
