batch,train_loss,vali_loss,test_loss
100,0.5371535274386406,0.27287779897451403,0.3101538385689994
200,0.27927190318703654,0.235077909193933,0.2694243052859365
300,0.25519457265734674,0.22688472140580415,0.26146639405209343
400,0.2480424763262272,0.22370433267205952,0.25712135940054315
500,0.24576108887791634,0.21974390149116516,0.2557003777704121
600,0.24305864969889324,0.21781536731868983,0.2529973017948645
700,0.23803552970290184,0.2166840311139822,0.2523715619319751
800,0.2405254390835762,0.21634032111614943,0.24982684399978614
900,0.227607159614563,0.1883584836497903,0.2225122000148267
1000,0.19587899550795554,0.1661469466984272,0.19940815737218032
1100,0.17850443482398987,0.16021394021809102,0.19292925735130723
1200,0.169620597610871,0.15673181265592576,0.18813610205679765
1300,0.1683679397404194,0.1546596160158515,0.18541400865824134
1400,0.16533225104212762,0.15228308718651534,0.18409874851320995
1500,0.16578669905662535,0.15157479494810105,0.18303689379015087
1600,0.16301165103912355,0.15268305409699678,0.18139127099219662
1700,0.15876246228814125,0.14994167499244213,0.17982828686082805
1800,0.15752744823694229,0.150000767596066,0.17831390976537892
1900,0.15595846220850945,0.14943002797663213,0.17806135389355965
2000,0.15482425630092622,0.1492264162749052,0.1775984090787393
2100,0.15228192940354346,0.14915900509804486,0.1777514765659968
2200,0.15152928709983826,0.14969322178512812,0.17688199243059866
2300,0.15061627328395844,0.14874770864844322,0.176413725371714
2400,0.1485859929025173,0.14890929944813253,0.1756962611351484
2500,0.14893922418355943,0.14880559612065553,0.17586045634047484
2600,0.14850627973675729,0.14966116845607758,0.17558771532810766
2700,0.14927714347839355,0.14802340436726807,0.17570900378955734
2800,0.14839052334427832,0.14826643113046883,0.17526521786679455
2900,0.14635624140501022,0.14810354355722666,0.1752147543485518
3000,0.14625077098608016,0.1480079235509038,0.17492851081453722
3100,0.1474682804942131,0.14821040481328965,0.17502110244499314
3200,0.14634220123291017,0.1480015840381384,0.17465457678944976
3300,0.14482133008539677,0.14785340689122678,0.1746947774088677
3400,0.14630139663815497,0.1478374172002077,0.17507713062711705
3500,0.14563916474580765,0.14787442274391652,0.1743559766974714
3600,0.1448347596824169,0.14798475448042153,0.17442989303373996
3700,0.1460866992175579,0.14762006420642138,0.1746627932621373
3800,0.14583477899432182,0.14761099647730588,0.17454578359553843
3900,0.14374237671494483,0.14752839952707292,0.1745406971025614
4000,0.14418024122714995,0.1470763659104705,0.17431800545733653
4100,0.1451196038722992,0.14779653176665306,0.17423232911545553
4200,0.14395274788141252,0.14770065834745766,0.1745157537544951
4300,0.14497090995311737,0.14758488666266203,0.1742266323187469
4400,0.1455345442146063,0.1473477367311716,0.17450897156456371
4500,0.14339321613311767,0.14763386864215136,0.17417109196568714
4600,0.14573441594839096,0.14763274192810058,0.17415279232793385
4700,0.1419065348803997,0.14712790362536907,0.17423213710203583
4800,0.1458364649862051,0.1473762307316065,0.174155525357267
4900,0.14353809237480164,0.14772604927420616,0.17411950695109957
5000,0.14512543454766275,0.14756076391786338,0.17419488447499865
5100,0.14351447388529778,0.1475381501019001,0.17411054657013328
5200,0.1447746176804815,0.14735259832814335,0.17404012133677801
5300,0.14351780340075493,0.1476134080439806,0.17414881192423678
5400,0.14420432195067406,0.1477126620709896,0.17410053229994243
5500,0.14380523651838303,0.14742910042405127,0.17417788896479725
5600,0.14372200720012188,0.1473063999786973,0.17416884800718155
5700,0.14390798047184944,0.14731560926884413,0.1742268370717396
