batch,train_loss,vali_loss,test_loss
100,0.5032979759573937,0.27140985894948244,0.30983068527262886
200,0.2792480660974979,0.23537778928875924,0.27001823236544925
300,0.2554907600581646,0.22724071834236384,0.260993954392127
400,0.2477649235725403,0.22412209250032902,0.2571306490787753
500,0.24508368566632271,0.22035829108208418,0.25692341458282353
600,0.24183652997016908,0.21730722896754742,0.25320453978615043
700,0.2359292335808277,0.21658539436757565,0.24873657864920887
800,0.23572043016552924,0.21434345487505196,0.24427949673967597
900,0.2167318893969059,0.18103912398219107,0.2137626995459015
1000,0.1916872690618038,0.16889258921146394,0.20217338691890976
1100,0.17884903892874718,0.1623456859961152,0.19574401610427433
1200,0.16815528720617295,0.1582934707403183,0.18944493198284396
1300,0.16652921468019485,0.15655400287359952,0.18782240566280153
1400,0.1631411775946617,0.15383525006473064,0.18537323678165307
1500,0.1636315679550171,0.15444687400013207,0.18470046922196576
1600,0.16060446277260781,0.1550778156146407,0.1824990401941317
1700,0.15630119279026986,0.15223338212817908,0.18146227070210894
1800,0.15505693587991926,0.15150552801787853,0.17994593847313045
1900,0.15355414986610413,0.1516972916200757,0.18050098092651662
2000,0.15232586577534676,0.1511160647496581,0.18009365317814144
2100,0.14990060314536094,0.1503499887883663,0.18077511271392857
2200,0.1491179920732975,0.1502129130065441,0.17814089900549548
2300,0.149066524207592,0.149656343087554,0.17835462291115595
2400,0.14610518664121627,0.1509145237505436,0.1775173089110557
2500,0.1469171430170536,0.14963935501873493,0.17746916910012564
2600,0.14614400044083595,0.1507507361471653,0.17739293889866936
2700,0.14709593445062638,0.1502052577212453,0.1789106039997236
2800,0.14678624853491784,0.14987543858587743,0.17753064025331428
2900,0.14463787257671357,0.15002821031957864,0.17760492056424235
3000,0.14423946931958198,0.15012228414416312,0.1771743513735724
3100,0.14552439585328103,0.14981651660054923,0.17743322506179043
3200,0.14405352458357812,0.15004515144973993,0.17689528219677783
3300,0.14279386907815933,0.1497079161927104,0.1767014533189344
3400,0.14438996061682702,0.14998744633048772,0.1769047566678053
3500,0.14365460071712732,0.149923044629395,0.1764244728802163
3600,0.14280959509313107,0.15005400069057942,0.1767909924649162
3700,0.1441689622402191,0.1501146474853158,0.1768319466047817
3800,0.14370783552527427,0.14936580881476402,0.1767095289664504
3900,0.141565415635705,0.14990374464541673,0.17691402187869873
4000,0.14122842103242875,0.14908655323088169,0.17643124803348822
4100,0.14332994788885117,0.15001355968415736,0.17651507318203832
4200,0.14167299084365367,0.14991317093372344,0.17693284328705
4300,0.14298109248280524,0.14980485439300537,0.17644931100032948
4400,0.14354656405746938,0.149463951587677,0.17664979862762087
4500,0.14124856725335122,0.15004327166825532,0.17638056527501272
4600,0.14369037933647633,0.14987420216202735,0.17624942415658337
4700,0.13964386604726314,0.14925993187353015,0.17638963129785326
4800,0.14393867656588555,0.14962902273982764,0.17629520061575335
4900,0.14150379963219165,0.15008252691477536,0.17631406557780724
5000,0.14311568364500998,0.14974905513226985,0.176389982762896
5100,0.1417267958819866,0.14982812944799662,0.1763342312640614
5200,0.1428468988410064,0.14955550441518425,0.17624477591411566
5300,0.1414973396062851,0.14982845839112996,0.17637229664826098
5400,0.1422806704044342,0.15001289863139392,0.17625496748052996
5500,0.14171243742108344,0.1496931055560708,0.17639513571321228
5600,0.1417498242855072,0.14951059464365243,0.17646487765474084
5700,0.1419483830034733,0.14941463489085435,0.17645424733191362
