batch,train_loss,vali_loss,test_loss
100,0.7904733675718307,0.3449328305659356,0.3876674308342004
200,0.3128786316514015,0.24882663554185397,0.28704957748359106
300,0.2712296210229397,0.23511020181240974,0.27349384625752765
400,0.26203622937202453,0.23123569283392523,0.26659726318698257
500,0.2549077133834362,0.22807240737723067,0.26346661497212054
600,0.2514866057670478,0.22531030956026796,0.26052677753211567
700,0.24973729833960534,0.22417054373722572,0.2585913314946792
800,0.24730028823018074,0.22277202118526807,0.256830965666651
900,0.24491587594151498,0.22192828589445585,0.2552499881705398
1000,0.24106131002306938,0.219323805593825,0.2540491483871292
1100,0.2385209845006466,0.21765449430261338,0.2525649522460482
1200,0.23769840056245978,0.2182048475974566,0.2518476555182499
1300,0.2358374074101448,0.2170815835525463,0.2511496988107573
1400,0.2366658678650856,0.21679306881768362,0.2509059689517291
1500,0.2362912741303444,0.21750161129158813,0.2499402939523541
1600,0.23561724290251732,0.21655914632530956,0.2499692864575476
1700,0.23377057328820228,0.21537819562794328,0.2480711856353208
1800,0.23389496300557647,0.21522086452354083,0.24799751307604448
1900,0.23430436730384827,0.2148558060070137,0.24781027173846024
2000,0.22894255995750426,0.21591987683401478,0.24823855435323416
2100,0.23148342356085777,0.21465593228092442,0.24743391104839133
2200,0.2304651403427124,0.21512069562812905,0.2476425476419101
2300,0.22883868962526321,0.2142844335599379,0.2473982296087457
2400,0.2297256889939308,0.21381740136580032,0.2464073567457919
2500,0.22995814308524132,0.2143012840639461,0.24762329852805948
2600,0.23024757966399192,0.2137107957493175,0.2462877501856606
2700,0.22852076083421707,0.21296992646409318,0.24603475583424358
2800,0.23101301580667497,0.2136736663130971,0.24677023619600813
2900,0.2296318042736787,0.2130188014987227,0.24567220580277951
3000,0.22749154314398765,0.21324443797786513,0.24617776593322274
3100,0.22852498278021813,0.21293771808797662,0.2462436264415957
3200,0.22791850671172142,0.21302651004357773,0.24607580450345884
3300,0.22928483724594118,0.21173832923560948,0.24517004932247619
3400,0.2273729331791401,0.21227339780949928,0.24537271954728374
3500,0.22706007060347771,0.21208707465753926,0.2451137976264054
3600,0.2277209687232971,0.21226649934595282,0.24515882668630132
3700,0.22863993048667908,0.21196971156380393,0.2451077849610047
3800,0.2281022572517395,0.21181741202032411,0.24520336232095394
3900,0.2255374675989151,0.21137686306005948,0.2443602149778942
4000,0.2245499357100456,0.21204557763291643,0.24480415346487513
4100,0.2246568702161312,0.21170312301679092,0.244574488708808
4200,0.22792657673358918,0.2118929283959525,0.24479300299155637
4300,0.2268858739733696,0.21154059160065342,0.24477982193044145
4400,0.22746380552649498,0.21129982154090682,0.24442483203591042
4500,0.2262283419072628,0.2112894563318847,0.24441861450297278
4600,0.22461283509619534,0.21153249717377998,0.2445101537419565
4700,0.22515346482396126,0.21173946907768001,0.24450080312273037
4800,0.22687733367085458,0.2113630115598827,0.24450736347609345
4900,0.22790020242333411,0.2114321119212485,0.24452434836318657
5000,0.22660311713814735,0.2110332591193063,0.24427493450776586
5100,0.2268595139682293,0.21098055429272838,0.24419235189755759
5200,0.2259150784961956,0.21115107060252847,0.24425554612897477
5300,0.22314849764108657,0.21095858069209308,0.24428099168921416
5400,0.22533318951725959,0.2110122341614265,0.24414291762330997
5500,0.2264673599600792,0.21108308782825222,0.24443817541659255
5600,0.22848871007561683,0.2114741684167416,0.2443642612523253
