batch,train_loss,vali_loss,test_loss
100,0.8795374456048012,0.40929754202564556,0.45733908592880546
200,0.33546107560396193,0.25649029161367154,0.2953363318334926
300,0.28603221029043197,0.243996846386128,0.28148554265499115
400,0.2747865183651447,0.2386912786298328,0.276170928756912
500,0.27006290420889856,0.236599488183856,0.2720993465030348
600,0.2653438903783497,0.23421404365864065,0.26974379648635916
700,0.2622535626590252,0.23102355437974134,0.26762612570415845
800,0.26136834397912023,0.22834835739599335,0.26594597488254695
900,0.25792253330349924,0.2282255780365732,0.26462989455306685
1000,0.25866607308387757,0.22711013298895624,0.2628135858224584
1100,0.2560208036005497,0.2267292539278666,0.2618270158380657
1200,0.2527961372152755,0.22553784938322174,0.25938697826939744
1300,0.25046386554837224,0.22573121368057197,0.25880180260577756
1400,0.2491583375632763,0.22499480491711032,0.25787875743268374
1500,0.24868690207600594,0.2256918814447191,0.2562187904274309
1600,0.24665056690573692,0.22717708866629335,0.2577718476970474
1700,0.2352859643953187,0.22310097784631783,0.2528406814127773
1800,0.23868342056870462,0.2213083559440242,0.2494338086092627
1900,0.23749472677707673,0.21824657710062134,0.24558360487609715
2000,0.22934055000543593,0.21235100200606716,0.2432903465512511
2100,0.22102666035294533,0.20543676138752037,0.23579368440361767
2200,0.21959513530135155,0.2011302254266209,0.23190769882171186
2300,0.21329122695785302,0.20281175461908182,0.23484260937223186
2400,0.21533464074134825,0.20099807758298185,0.23280629544676124
2500,0.21377874851226808,0.20119186118245125,0.2332112051836856
2600,0.20817796155810356,0.19918651257952055,0.23172912620878838
2700,0.20696414470672608,0.19891910441219807,0.23062797345511324
2800,0.20879772141575814,0.19952569425933891,0.23175486128825645
2900,0.20569085594680575,0.19763692220052084,0.22786692733114416
3000,0.20829532995820046,0.19756598356697294,0.22851551469270284
3100,0.20624967768788338,0.19619415431386894,0.22731274946943505
3200,0.20534237891435622,0.19645573364363778,0.22763753692051034
3300,0.2053082199394703,0.19756532398362955,0.229106352507294
3400,0.20256721388016427,0.19741667475965288,0.22918320331093553
3500,0.20289544731378556,0.198031231140097,0.22953928939320825
3600,0.20338792800903321,0.19696541958385044,0.2282805456356569
3700,0.20639020204544067,0.19658399725125897,0.2277643159999476
3800,0.20343366801738738,0.19680561766856247,0.22723045113024773
3900,0.2029603038728237,0.19594203018479878,0.22693279956455353
4000,0.20287999375299973,0.1962857778287596,0.22697047821500085
4100,0.20203610882163048,0.19626107874015966,0.22718965891119722
4200,0.2035144643485546,0.19618062323166263,0.22747044303974548
4300,0.2030281838774681,0.1963155863599645,0.22740046660621444
4400,0.20229951575398444,0.19692127096156278,0.22835577453498718
4500,0.19097815826535225,0.19618884970744452,0.22750876824577132
4600,0.2013973367214203,0.19645540271368292,0.22783523710904183
4700,0.20325045615434648,0.19569172689484227,0.22709940257784608
4800,0.2023814369738102,0.19626429801185927,0.22749930136389546
4900,0.20224685505032539,0.19637944735586643,0.22722676889849946
5000,0.20218731135129928,0.19656469196909004,0.22764594291711782
5100,0.19802619552328474,0.1962418504473236,0.2275149892870482
5200,0.2029811017215252,0.19620437485476336,0.2272080158838978
5300,0.20195142641663552,0.19624894402093357,0.22746653554888516
5400,0.20138608530163765,0.1960927719871203,0.22733501867427455
5500,0.20161168441176414,0.19590428492261303,0.22699168750217982
5600,0.20443724632263183,0.19615722882250944,0.2274451790885492
